"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"290","brunei darussalam",2005,"2059324",-0.86550760269165,1.25734126567841,0.926201343536377
"291","brunei darussalam",2006,"417657",-1.08026516437531,1.18770861625671,0.943991184234619
"292","brunei darussalam",2007,"368943",-1.03759729862213,1.17479908466339,0.991997241973877
"293","brunei darussalam",2008,"693438",-0.980769693851471,1.16142010688782,0.80716335773468
"294","brunei darussalam",2009,"234315",-0.745992660522461,1.36356902122498,1.10393846035004
"295","brunei darussalam",2010,"513957",-0.651474952697754,1.24032914638519,1.12348759174347
"296","bulgaria",1996,"2288030",0.374306291341782,-0.20449335873127,-0.115452446043491
"297","bulgaria",1998,"3992659",0.366865396499634,0.530685007572174,0.0816229283809662
"298","bulgaria",2000,"3380191",0.410539835691452,0.348313480615616,0.204995036125183
"299","bulgaria",2002,"3365544",0.485080718994141,0.395088851451874,0.554885268211365
"300","bulgaria",2003,"5333977",0.511577486991882,0.148887559771538,0.632641315460205
"301","bulgaria",2004,"4147780",0.54320627450943,-0.0210399441421032,0.666788756847382
"302","bulgaria",2005,"3309562",0.573656976222992,0.131644532084465,0.643862783908844
"303","bulgaria",2006,"4408582",0.553037047386169,0.391666561365128,0.569240033626556
"304","bulgaria",2007,"9613648",0.677791237831116,0.352441728115082,0.62351405620575
"305","bulgaria",2008,"13297970",0.556265652179718,0.349834859371185,0.692166090011597
"306","bulgaria",2009,"7802276",0.555707454681396,0.318420469760895,0.662095010280609
"307","bulgaria",2010,"7742278",0.524106025695801,0.32743227481842,0.641007602214813
"308","burkina faso",1996,"684633",-0.73232364654541,-0.414000004529953,-0.248891964554787
"309","burkina faso",1998,"1522365",-0.574675500392914,-0.20007286965847,-0.394874393939972
"310","burkina faso",2000,"638066",-0.358566045761108,-0.0131576051935554,-0.124199323356152
"311","burkina faso",2002,"306693",-0.478780955076218,-0.367371678352356,-0.144395768642426
"312","burkina faso",2003,"183688",-0.330611914396286,0.0355284810066223,-0.346066027879715
"313","burkina faso",2004,"411203",-0.454057931900024,-0.106681473553181,-0.33984237909317
"314","burkina faso",2005,"429754",-0.459601908922195,-0.0751308649778366,-0.416999161243439
"315","burkina faso",2006,"802896",-0.373123496770859,0.146304398775101,-0.314625918865204
"316","burkina faso",2007,"410097",-0.340762972831726,0.286871403455734,-0.24673131108284
"317","burkina faso",2008,"689306",-0.320399850606918,0.096509613096714,-0.174582168459892
"318","burkina faso",2009,"778664",-0.315414428710938,0.0149903604760766,-0.0889491140842438
"319","burkina faso",2010,"1345586",-0.277472734451294,-0.147422716021538,-0.139070555567741
"320","burundi",2000,"960095",-1.63042998313904,-2.15137028694153,-1.22229421138763
"321","burundi",2002,"858",-1.22431540489197,-2.39139842987061,-1.31707096099854
"322","burundi",2004,"420",-1.31452023983002,-2.51382756233215,-1.19710659980774
"323","burundi",2005,"100718",-0.638149678707123,-1.51464486122131,-1.35841071605682
"324","burundi",2006,"1801752",-0.747572243213654,-1.3966498374939,-1.20819056034088
"325","burundi",2007,"8256",-0.737355947494507,-1.31706809997559,-1.23967313766479
"326","burundi",2009,"511063",-0.709607541561127,-1.26757144927979,-1.14797759056091
"327","burundi",2010,"33303",-0.94341641664505,-1.5960978269577,-1.10455524921417
"328","cambodia",1996,"88866",-0.857639133930206,-1.14739465713501,-0.05091193318367
"329","cambodia",1998,"3504",-0.919419527053833,-1.30523037910461,-0.179692313075066
"330","cambodia",2000,"602",-0.834830403327942,-0.869529187679291,-0.151342779397964
"331","cambodia",2002,"87565",-0.775637924671173,-0.80454283952713,-0.308060228824615
"332","cambodia",2003,"5653",-0.960617542266846,-0.698057949542999,-0.4602370262146
"333","cambodia",2004,"17844",-0.887444674968719,-0.427421450614929,-0.502930998802185
"334","cambodia",2005,"22748",-1.01295173168182,-0.421250551939011,-0.486455202102661
"335","cambodia",2006,"141982",-0.9253169298172,-0.380780071020126,-0.586366832256317
"336","cambodia",2007,"124405",-0.925050139427185,-0.405373752117157,-0.467673867940903
"337","cambodia",2008,"429564",-0.968556821346283,-0.33578759431839,-0.444828271865845
"338","cambodia",2009,"68899",-0.911202490329742,-0.587342798709869,-0.473601758480072
"339","cambodia",2010,"341517",-0.926010072231293,-0.541782319545746,-0.461894631385803
